,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
0,AFG,2,15.037980804407717,29.8,3.911567885331884,3.917340050421739,,9.2,502.0,19101353832.0,0.389,33.0,59.627,,0.0050519234816608,0.0002001369644804,38928341.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
1,ALB,5,15.720086261178862,17.0,1.7279207675247368,1.7541951774133433,0.7830718865882383,9.0,5352.0,15278077446.0,0.621,41.0,99.6,28.7,0.115338836588671,0.0012527830404059,2862427.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
2,DZA,4,27.25419538657172,14.2,5.469628548325901,6.621854404289135,,6.7,3948.0,169988236398.0,0.523,28.0,18.411000000000005,15.6,0.0061702067154936,0.0001568719813574,43851043.0,4.0,2.0,1.0,2.0,0.0,3.0,2.0
3,AND,0,14.047082275406504,,14.71671463821574,13.996671587247514,,7.7,40886.0,3154057987.0,,42.558333,164.394,33.5,0.5972561962078561,0.0020060829612373,77265.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0
4,AGO,1,22.79271579209979,16.5,3.4784127195361303,5.619320986350652,0.1712150637612723,4.5,2973.0,94635415869.0,0.361,-12.35,26.363,,0.0031378981981738,5.832728128205129e-05,32866267.0,4.0,1.0,2.0,2.0,0.0,3.0,1.0
5,ATG,5,27.141183998987856,22.6,7.49479839559626,7.037318618111353,,13.1,17790.0,1727759259.0,,17.116667,222.564,,0.0919859488603872,0.0014806796830324,97928.0,[],[],[],[],[],[],[]
6,ARG,3,17.598723862944162,15.8,0.5819384075805288,0.634035893379775,0.7135670035633037,5.9,10006.0,449663446954.0,0.611,-34.0,16.515,21.8,0.2157997541184536,0.0028890458631747,44938712.0,4.0,2.0,2.0,2.0,0.0,3.0,2.0
7,ARM,0,,22.3,8.017138888317751,7.938286345256567,1.250799696001034,6.1,4622.0,13672802157.0,0.572,,104.083,24.1,0.1482508637522382,0.0029255198880682,2963234.0,[],[],[],[],[],[],[]
8,AUS,1,20.41698158071066,9.1,0.8845409560605787,2.816672212249685,3.3376693403263724,5.6,54907.0,1392680589329.0,0.803,-28.0,3.319,14.7,0.3970477744582416,0.0005676497078554,25499881.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0
9,AUT,0,9.688346027411168,11.4,1.1809365516112555,1.226252433321763,24.720401202238044,6.6,51448.0,455140042000.0,0.793,48.0,107.1,29.6,0.5653733162880873,0.0023326024196347,8858775.0,3.0,0.0,3.0,2.0,5.0,3.0,2.0
10,AZE,0,15.40312925609756,22.2,1.1061326712748056,1.2647964790128845,1.1285829468373905,6.1,4793.0,48047647058.0,0.597,40.3,122.664,20.8,0.0807397051535258,0.0009737478641013,10139175.0,4.0,0.0,2.0,2.0,5.0,2.0,2.0
11,BHS,4,25.80067563313008,15.5,8.023181300349906,7.438614662968535,1.2088842266148234,8.8,32933.0,12827000000.0,,25.0,39.286,11.5,0.0945230490682724,0.002110627390349,393248.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0
12,BHR,3,28.334788029471547,11.3,1.3315169076185736,1.3552210578289523,7.133409263350849,15.6,23503.0,38574069148.0,0.668,26.0675,2238.925,26.4,0.3966359560479859,0.0008921104641971,1701583.0,2.0,1.0,3.0,2.0,0.0,3.0,2.0
13,BGD,4,26.54096668699187,21.6,2.835291476234105,2.6771803572064736,0.1135602681848446,9.2,1855.0,302571254131.0,0.479,24.016667,1265.187,23.0,0.0122447662579439,0.0001781353446445,164689383.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
14,BRB,1,27.378757134615388,16.2,1.0551662339769003,1.0639288852817703,3.1571930162950137,13.4,18148.0,5209000000.0,,13.17,668.305,7.8,0.3548687933020381,0.0019417408158791,287371.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0
15,BLR,0,8.416614959349593,23.7,12.733303850265868,12.50479652068507,1.5967494295798257,5.0,6663.0,63080457022.0,,53.528333,46.569,26.7,0.1051966591038657,0.0007532816379081,9449321.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0
16,BEL,0,11.627785904761904,11.4,1.2210736197357843,1.2346279978392498,3.561893207553588,4.6,47436.0,542587364000.0,0.757,50.641111,375.3,28.2,0.3931821858093029,0.0028462263473178,11455519.0,3.0,0.0,3.0,2.0,5.0,3.0,2.0
17,BLZ,1,27.44718175203252,22.1,5.03355612265856,4.371817355946716,2.451245448974442,17.1,4815.0,1879613600.0,,17.066667,17.432,,0.1725562784661776,0.0017101712434705,397621.0,1.0,2.0,2.0,2.0,0.0,3.0,2.0
18,BEN,5,27.26076853211009,19.6,6.433483970153749,8.41281043720202,,1.0,1219.0,14390709094.0,0.406,8.833333,107.513,6.4,0.0022797614952754,1.344529718973492e-05,12123198.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0
19,BTN,3,19.04170148780488,23.3,13.855944047542934,7.330161597287891,3.791970465117073,10.3,3243.0,2446674102.0,,27.45,20.243,,0.0795982955163994,2.7215750921447568e-05,771612.0,3.0,1.0,2.0,2.0,0.0,4.0,2.0
