iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population,international_travel_controls,stay_at_home_requirements,testing_policy,public_information_campaigns,vaccination_policy,facial_coverings,cancel_public_events
ABW,27.507913482793523,,1.7664944122328499,1.7853955123828211,3.7137290897851374,11.6,29007.0,3056424581.0,,12.511063,593.144,,0.40246895078957723,0.002135511305097128,106766.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0
AFG,15.037980804407715,29.8,3.9115678853318836,3.917340050421739,,9.2,502.0,19101353832.0,0.389,33.0,59.627,,0.005051923481660829,0.00020013696448045398,38928341.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
AGO,22.79271579209979,16.5,3.4784127195361303,5.619320986350652,0.17121506376127232,4.5,2973.0,94635415869.0,0.361,-12.35,26.363,,0.00313789819817383,5.832728128205129e-05,32866267.0,4.0,1.0,2.0,2.0,0.0,3.0,1.0
AIA,27.458482002024294,,12.965618189683552,12.683688958431274,,,,,,18.227222,166.689,,0.2570323956805759,0.0007998933475536596,15002.0,[],[],[],[],[],[],[]
ALB,15.720086261178862,17.0,1.7279207675247368,1.7541951774133433,0.7830718865882383,9.0,5352.0,15278077446.0,0.621,41.0,99.6,28.7,0.11533883658867108,0.0012527830404059212,2862427.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0
AND,14.047082275406504,,14.716714638215741,13.996671587247514,,7.7,40886.0,3154057987.0,,42.558333,164.394,33.5,0.5972561962078561,0.0020060829612373,77265.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0
ARE,29.445821646341464,16.8,2.600541285589795,2.4948696473456904,20.140679435262967,16.3,43103.0,421142267937.0,0.659,24.4,118.306,28.9,0.10325072797864596,0.0002367952762274529,9890400.0,2.0,0.0,3.0,2.0,5.0,3.0,2.0
ARG,17.598723862944162,15.8,0.5819384075805288,0.634035893379775,0.7135670035633037,5.9,10006.0,449663446954.0,0.611,-34.0,16.515,21.8,0.2157997541184536,0.002889045863174717,44938712.0,4.0,2.0,2.0,2.0,0.0,3.0,2.0
ARM,,22.3,8.017138888317751,7.938286345256567,1.2507996960010341,6.1,4622.0,13672802157.0,0.572,,104.083,24.1,0.14825086375223825,0.002925519888068239,2963234.0,[],[],[],[],[],[],[]
ASM,27.183354907801416,,,,,,11466.0,636000000.0,,-14.295833,275.985,,0.1488667862383825,0.0006159755059151766,55197.0,[],[],[],[],[],[],[]
ATG,27.141183998987856,22.6,7.49479839559626,7.037318618111353,,13.1,17790.0,1727759259.0,,17.116667,222.564,,0.09198594886038722,0.001480679683032432,97928.0,[],[],[],[],[],[],[]
AUS,20.41698158071066,9.1,0.8845409560605787,2.816672212249685,3.3376693403263724,5.6,54907.0,1392680589329.0,0.803,-28.0,3.319,14.7,0.3970477744582416,0.0005676497078554994,25499881.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0
AUT,9.688346027411168,11.4,1.1809365516112555,1.226252433321763,24.720401202238044,6.6,51448.0,455140042000.0,0.793,48.0,107.1,29.6,0.5653733162880873,0.002332602419634769,8858775.0,3.0,0.0,3.0,2.0,5.0,3.0,2.0
AZE,15.40312925609756,22.2,1.1061326712748056,1.2647964790128845,1.1285829468373905,6.1,4793.0,48047647058.0,0.597,40.3,122.664,20.8,0.0807397051535258,0.0009737478641013692,10139175.0,4.0,0.0,2.0,2.0,5.0,2.0,2.0
BDI,22.571598771573605,22.9,0.0491136789080549,0.042649438681541196,0.2655418512879852,5.1,261.0,3012334881.0,0.38,-3.666667,463.037,,0.004195014608376018,1.26148147880278e-06,11890781.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
BEL,11.627785904761904,11.4,1.2210736197357843,1.2346279978392498,3.5618932075535876,4.6,47436.0,542587364000.0,0.757,50.641111,375.3,28.2,0.3931821858093029,0.0028462263473178298,11455519.0,3.0,0.0,3.0,2.0,5.0,3.0,2.0
BEN,27.26076853211009,19.6,6.433483970153749,8.41281043720202,,1.0,1219.0,14390709094.0,0.406,8.833333,107.513,6.4,0.0022797614952754217,1.344529718973492e-05,12123198.0,1.0,0.0,2.0,2.0,0.0,4.0,2.0
BFA,28.822168395727367,21.7,4.439193331672301,3.7664835601945534,0.013084072268473874,7.3,774.0,15745810234.0,0.369,12.266667,76.401,12.5,0.001010750562662947,1.8513842661423726e-05,20903278.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0
BGD,26.54096668699187,21.6,2.835291476234105,2.6771803572064736,0.11356026818484463,9.2,1855.0,302571254131.0,0.479,24.016667,1265.187,23.0,0.012244766257943901,0.00017813534464453,164689383.0,3.0,2.0,3.0,2.0,0.0,4.0,2.0
BGR,13.540642081218275,23.6,0.5053925444368984,0.49980959629891586,1.2220291730266344,6.0,9440.0,66182565600.0,0.676,42.75,63.9,37.0,0.17860614776574815,0.005380398594922114,7000039.0,3.0,0.0,1.0,2.0,5.0,3.0,2.0
BHR,28.334788029471547,11.3,1.3315169076185736,1.3552210578289523,7.133409263350849,15.6,23503.0,38574069148.0,0.668,26.0675,2238.925,26.4,0.3966359560479859,0.0008921104641971623,1701583.0,2.0,1.0,3.0,2.0,0.0,3.0,2.0
BHS,25.80067563313008,15.5,8.023181300349906,7.4386146629685355,1.2088842266148234,8.8,32933.0,12827000000.0,,25.0,39.286,11.5,0.09452304906827244,0.002110627390349093,393248.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0
BIH,12.048473939086294,17.8,12.741955885961262,13.692793958063412,0.7814906631206849,9.0,6073.0,20047848434.0,0.618,44.0,64.33,38.9,0.12119000918978973,0.004908536445974552,3280815.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0
BLR,8.416614959349593,23.7,12.733303850265868,12.50479652068507,1.5967494295798255,5.0,6663.0,63080457022.0,,53.528333,46.569,26.7,0.10519665910386578,0.0007532816379081629,9449321.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0
BLZ,27.44718175203252,22.1,5.03355612265856,4.371817355946716,2.451245448974442,17.1,4815.0,1879613600.0,,17.066667,17.432,,0.1725562784661776,0.001710171243470541,397621.0,1.0,2.0,2.0,2.0,0.0,3.0,2.0
BMU,22.619723064842958,,11.741948343685854,11.637251572337595,61.20703121008229,6.7,,,,32.333333,1245.46,,0.2893549371316622,0.002376631927159443,62273.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0
BOL,21.694474114871795,17.2,1.0959409457886102,1.3383433110794933,0.4711472055628589,6.8,3552.0,40895322865.0,,-17.05687,10.775,,0.09479441882651024,0.001903362015120497,11673029.0,4.0,0.0,1.0,2.0,0.0,4.0,0.0
BRA,27.968065898373982,16.6,0.839862246335098,1.4075534417898776,0.4004173539767871,10.4,8717.0,1839758040765.0,0.56,-14.0,25.431,13.9,0.16263139403064486,0.003223583482959345,212559409.0,1.0,2.0,1.0,2.0,0.0,4.0,2.0
BRB,27.378757134615388,16.2,1.0551662339769003,1.0639288852817705,3.1571930162950137,13.4,18148.0,5209000000.0,,13.17,668.305,7.8,0.35486879330203813,0.0019417408158791249,287371.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0
