country_name,iso_3166_1_alpha_3,average_temperature_celsius,comorbidity_mortality_rate,cumulative_persons_fully_vaccinated,cumulative_persons_vaccinated,cumulative_tested,diabetes_prevalence,elevation_m,gdp_per_capita_usd,gdp_usd,human_capital_index,international_travel_controls,latitude,population_density,smoking_prevalence,stay_at_home_requirements,testing_policy
Afghanistan,AFG,16.720116,29.8,1957934.0,2077723.5,,9.2,1840.9117,502.0,19101354000.0,0.389,,34.418205,59.627,,,
Albania,ALB,14.793224,17.0,654580.9,755838.6,515812.03,9.0,,5352.0,15278078000.0,0.621,1,41.0,99.6,28.7,2,2
Algeria,DZA,26.17607,14.2,4872930.0,5589503.5,,6.7,,3948.0,169988240000.0,0.523,4,28.0,18.411,15.6,2,1
American Samoa,ASM,27.250763,,,,,,765.0,11466.0,636000000.0,,,-14.295833,275.985,,,
Andorra,AND,10.413497,,27899.275,32573.656,181496.14,7.7,,40886.0,3154058000.0,,2,42.558334,164.394,33.5,0,3
Angola,AGO,22.88934,16.5,2020198.4,3549836.2,1385368.9,4.5,,2973.0,94635420000.0,0.361,4,-12.35,26.363,,1,2
Anguilla,AIA,27.430387,,8128.75,8497.296,,,,,,,,18.227222,166.689,,,
Antarctica,ATA,-48.052166,,,,,,,,,,,-90.0,,,,
Antigua and Barbuda,ATG,27.073532,22.6,37284.676,42982.24,14077.0,13.1,,17790.0,1727759200.0,,,17.116667,222.564,,,
Argentina,ARG,18.667242,15.8,19735.934,27811.16,59448.0,5.9,520.7204,10006.0,449663430000.0,0.611,,-32.545128,16.515,21.8,,
Armenia,ARM,9.100195,22.3,375096.53,463218.38,972293.3,6.1,,4622.0,13672802000.0,0.572,,40.38333,104.083,24.1,,
Aruba,ABW,27.464996,,63952.555,74158.49,,11.6,31.0,29007.0,3056424700.0,,1,12.511063,593.144,,2,1
Australia,AUS,18.782454,9.1,2060852.0,3383131.0,4669207.0,5.6,508.125,54907.0,1392680600000.0,0.803,,-30.05,3.319,14.7,,
Austria,AUT,8.221192,11.4,588907.5,735779.9,8557330.0,6.6,521.97296,50810.8,91011770000.0,0.793,,47.672894,658.775,29.6,,
Azerbaijan,AZE,14.224894,22.2,2822876.0,3313442.5,4578796.5,6.1,,4793.0,48047650000.0,0.597,4,40.3,122.664,20.8,1,2
Bahamas,BHS,25.751465,15.5,83550.08,84256.21,182639.47,8.8,,32933.0,12827000000.0,,1,23.7,39.286,11.5,2,1
Bahrain,BHR,27.385277,11.3,929278.94,873930.56,3323688.0,15.6,,23503.0,38574068000.0,0.668,3,26.0675,2238.925,26.4,1,3
Bangladesh,BGD,25.498407,21.6,16989884.0,23866618.0,5150266.0,9.2,14.793103,1855.0,302571260000.0,0.479,,23.880785,1265.187,23.0,,
Barbados,BRB,27.35205,16.2,104612.22,111945.79,587378.0,13.4,,18148.0,5209000000.0,,2,13.17,668.305,7.8,2,2
Belarus,BLR,7.336713,23.7,1906554.0,2321833.2,5030484.5,5.0,,6663.0,63080456000.0,,3,53.52833,46.569,26.7,1,3
Belgium,BEL,10.630005,11.4,2617891.0,3062274.0,11490651.0,4.6,150.33333,45597.168,90406396000.0,0.757,,50.732594,959.35834,28.2,,
Belize,BLZ,27.615597,22.1,84508.94,109465.38,244632.6,17.1,,4815.0,1879613600.0,,1,17.066668,17.432,,2,2
Benin,BEN,27.360916,19.6,659746.3,690524.5,604310.0,1.0,,1219.0,14390709000.0,0.406,3,8.833333,107.513,6.4,0,2
Bermuda,BMU,22.260263,,32970.086,33645.35,,6.7,25.0,,,,2,32.333332,1245.46,,2,3
Bhutan,BTN,18.217285,23.3,441710.06,489038.72,553550.4,10.3,,3243.0,2446674200.0,,3,27.45,20.243,,1,3
Bolivia,BOL,21.485792,17.2,647642.0,872020.2,1269494.0,6.8,1502.8572,3552.0,40895324000.0,,,-17.282354,10.775,,,
