,iso_a3,labels,average_temperature_celsius,comorbidity_mortality_rate,average_new_fully_vaccinated_per_day_per_1000,average_new_vaccinated_per_day_per_1000,average_new_tested_per_day_per_1000,diabetes_prevalence,gdp_per_capita_usd,gdp_usd,human_capital_index,latitude,population_density,smoking_prevalence,total_cases_divided_by_population,total_deaths_divided_by_population,population
0,AFG,3,15.0379808044077,29.8,3.91156788533188,3.91734005042174,,9.2,502.0,19101353832.0,0.389,33.0,59.627,,0.0050519234816608,0.0002001369644804,38928341
1,ALB,1,15.7200862611789,17.0,1.72792076752474,1.75419517741334,0.783071886588238,9.0,5352.0,15278077446.0,0.621,41.0,99.6,28.7,0.115338836588671,0.0012527830404059,2862427
2,DZA,0,27.2541953865717,14.2,5.4696285483259,6.62185440428914,,6.7,3948.0,169988236398.0,0.523,28.0,18.411,15.6,0.0061702067154936,0.0001568719813574,43851043
3,AND,5,14.0470822754065,,14.7167146382157,13.9966715872475,,7.7,40886.0,3154057987.0,,42.558333,164.394,33.5,0.597256196207856,0.0020060829612373,77265
4,AGO,0,22.7927157920998,16.5,3.47841271953613,5.61932098635065,0.171215063761272,4.5,2973.0,94635415869.0,0.361,-12.35,26.363,,0.0031378981981738,5.8327281282e-05,32866267
5,ATG,0,27.1411839989879,22.6,7.49479839559626,7.03731861811135,,13.1,17790.0,1727759259.0,,17.116667,222.564,,0.0919859488603872,0.0014806796830324,97928
6,ARG,3,17.5987238629442,15.8,0.581938407580529,0.634035893379775,0.713567003563304,5.9,10006.0,449663446954.0,0.611,-34.0,16.515,21.8,0.215799754118454,0.0028890458631747,44938712
7,ARM,1,,22.3,8.01713888831775,7.93828634525657,1.25079969600103,6.1,4622.0,13672802157.0,0.572,,104.083,24.1,0.148250863752238,0.0029255198880682,2963234
8,AUS,0,20.4169815807107,9.1,0.884540956060579,2.81667221224968,3.33766934032637,5.6,54907.0,1392680589329.0,0.803,-28.0,3.319,14.7,0.397047774458242,0.0005676497078554,25499881
9,AUT,4,9.68834602741117,11.4,1.18093655161126,1.22625243332176,24.720401202238,6.6,51448.0,455140042000.0,0.793,48.0,107.1,29.6,0.565373316288087,0.0023326024196347,8858775
10,AZE,1,15.4031292560976,22.2,1.10613267127481,1.26479647901288,1.12858294683739,6.1,4793.0,48047647058.0,0.597,40.3,122.664,20.8,0.0807031144052647,0.0009728602179171,10139175
11,BHS,0,25.8006756331301,15.5,8.02318130034991,7.43861466296854,1.20888422661482,8.8,32933.0,12827000000.0,,25.0,39.286,11.5,0.0945230490682724,0.002110627390349,393248
12,BHR,3,28.3347880294715,11.3,1.33151690761857,1.35522105782895,7.13340926335085,15.6,23503.0,38574069148.0,0.668,26.0675,2238.925,26.4,0.396635956047986,0.0008921104641971,1701583
13,BGD,2,26.5409666869919,21.6,2.83529147623411,2.67718035720647,0.113560268184845,9.2,1855.0,302571254131.0,0.479,24.016667,1265.187,23.0,0.0122447662579439,0.0001781353446445,164689383
14,BRB,0,27.3787571346154,16.2,1.0551662339769,1.06392888528177,3.15719301629501,13.4,18148.0,5209000000.0,,13.17,668.305,7.8,0.354506891787967,0.0019347811713777,287371
